condition,conv_id,turn_index,n_turns,cosine_semanticL
C2-P0,4358,21,32,0.7635660429759973
C2-P0,4358,22,32,0.6841751098904697
C2-P0,4358,23,32,0.772059382291443
C2-P0,4358,24,32,0.7191113914605872
C2-P0,4358,25,32,0.792397336417979
C2-P0,4358,26,32,0.642934472132592
C2-P0,4358,27,32,0.7595113719002237
C2-P0,4358,28,32,0.7943977195700357
C2-P0,4877,0,32,0.6896003374222527
C2-P0,4877,1,32,0.703693929715577
C2-P0,4877,2,32,0.5039562305399387
C2-P0,4877,3,32,0.5204444808377493
C2-P0,4877,4,32,0.6425672463057848
C2-P0,4877,5,32,0.6474924220375116
C2-P0,4877,6,32,0.4153191948133771
C2-P0,4877,7,32,0.29305531188414646
C2-P0,4877,8,32,0.5834062279864017
C2-P0,4877,9,32,0.6888836282710951
C2-P0,4877,10,32,0.5683397124687529
C2-P0,4877,11,32,0.7350856108474404
C2-P0,4877,12,32,0.6896478035786087
C2-P0,4877,13,32,0.7053977760768083
C2-P0,4877,14,32,0.5808166711632824
C2-P0,4877,15,32,0.8330756004134894
C2-P0,4877,16,32,0.7746940249090547
C2-P0,4877,17,32,0.7654389856172993
C2-P0,4877,18,32,0.8612562757869643
C2-P0,4877,19,32,0.8449946388046937
C2-P0,4877,20,32,0.6640179878222423
C2-P0,4877,21,32,0.7119631078318056
C2-P0,4877,22,32,0.7512289336989829
C2-P0,4877,23,32,0.7370897863253171
C2-P0,4877,24,32,0.7869499882831138
C2-P0,4877,25,32,0.8724167141783583
C2-P0,4877,26,32,0.5307449838301072
C2-P0,4877,27,32,0.5758086503726181
C2-P0,4877,28,32,0.7283771342035273
C3-P0,4646,0,23,0.43497806219693513
C3-P0,4646,1,23,0.6423146778791065
C3-P0,4646,2,23,0.6509459857122125
C3-P0,4646,3,23,0.6360470868831434
C3-P0,4646,4,23,0.5324814027914035
C3-P0,4646,5,23,0.6376722134570799
C3-P0,4646,6,23,0.7463073429020295
C3-P0,4646,7,23,0.7030212218341128
C3-P0,4646,8,23,0.6411859615690046
C3-P0,4646,9,23,0.76170853998126
C3-P0,4646,10,23,0.6556344388466593
C3-P0,4646,11,23,0.5777488321655013
C3-P0,4646,12,23,0.6204017144557963
C3-P0,4646,13,23,0.6235972348131553
C3-P0,4646,14,23,0.5699322306398608
C3-P0,4646,15,23,0.6598811508957155
C3-P0,4646,16,23,0.7375348847630088
C3-P0,4646,17,23,0.6281085016634053
C3-P0,4646,18,23,0.5212037630657427
C3-P0,4646,19,23,0.6147803453301582
C3-P1,4177,0,15,0.6670899909401792
C3-P1,4177,1,15,0.6880817371479557
C3-P1,4177,2,15,0.5526606278117685
C3-P1,4177,3,15,0.5907007710210818
C3-P1,4177,4,15,0.6690524110999483
C3-P1,4177,5,15,0.6566590197482485
C3-P1,4177,6,15,0.6774787664394699
C3-P1,4177,7,15,0.6884659346390601
C3-P1,4177,8,15,0.6515841778434982
C3-P1,4177,9,15,0.6599168913550458
C3-P1,4177,10,15,0.5278439979531335
C3-P1,4177,11,15,0.8183808473341609
C4-P0,4360,0,16,0.4587904354446488
C4-P0,4360,1,16,0.5828323156008623
C4-P0,4360,2,16,0.557746954370099
C4-P0,4360,3,16,0.4922500890420469
C4-P0,4360,4,16,0.6261802645323113
C4-P0,4360,5,16,0.5819082518576847
C4-P0,4360,6,16,0.6089748436883228
C4-P0,4360,7,16,0.6413586078589694
C4-P0,4360,8,16,0.6816313007341206
C4-P0,4360,9,16,0.5873984359529547
C4-P0,4360,10,16,0.65808578841145
C4-P0,4360,11,16,0.5899032075770929
C4-P0,4360,12,16,0.6963581584066121
C2-P0,4060,0,32,0.760107655546525
C2-P0,4060,1,32,0.682393674718755
C2-P0,4060,2,32,0.8302704233289095
C2-P0,4060,3,32,0.6794915477739534
C2-P0,4060,4,32,0.5158798013950951
C2-P0,4060,5,32,0.8156948690519004
C2-P0,4060,6,32,0.7781641176561049
C2-P0,4060,7,32,0.8434953577906517
C2-P0,4060,8,32,0.8380767442052831
C2-P0,4060,9,32,0.8076802292237935
C2-P0,4060,10,32,0.664848519791592
C2-P0,4060,11,32,0.6177245558018922
C2-P0,4060,12,32,0.7594980987353327
C2-P0,4060,13,32,0.6625751209658862
C2-P0,4060,14,32,0.6944096345962697
C2-P0,4060,15,32,0.7542842051098829
C2-P0,4060,16,32,0.7385386920782508
C2-P0,4060,17,32,0.7272090959373508
C2-P0,4060,18,32,0.6783871219331615
C2-P0,4060,19,32,0.5464865500310727
C2-P0,4060,20,32,0.5328335763213217
C2-P0,4060,21,32,0.7816547943363328
C2-P0,4060,22,32,0.6876871255193038
C2-P0,4060,23,32,0.7599567250514663
C2-P0,4060,24,32,0.8387782898862934
C2-P0,4060,25,32,0.8447890662236245
C2-P0,4060,26,32,0.787216364887865
C2-P0,4060,27,32,0.7286875910014454
C2-P0,4060,28,32,0.7108430171801747
C4-P1,4646,0,15,0.6070564738490271
C4-P1,4646,1,15,0.7910999549744879
C4-P1,4646,2,15,0.6146855292869782
C4-P1,4646,3,15,0.5636115086564379
C4-P1,4646,4,15,0.567285198721789
C4-P1,4646,5,15,0.6320834860556915
C4-P1,4646,6,15,0.6935288840418484
C4-P1,4646,7,15,0.6956684347947816
C4-P1,4646,8,15,0.6918583244401014
C4-P1,4646,9,15,0.5231572069731207
C4-P1,4646,10,15,0.6456239815333955
